Date,Open
2020-03-06,193.47
2020-03-09,173.75
2020-03-10,164.84
2020-03-11,167.65
2020-03-12,163.61
2020-03-13,120.12
2020-03-16,113.04
2020-03-17,102.39
2020-03-18,107.56
2020-03-19,107.43
2020-03-20,129.67
2020-03-23,122.53
2020-03-24,129.56
2020-03-25,136.32
2020-03-26,134.53
2020-03-27,135.75
2020-03-30,122.18
2020-03-31,132.33
2020-04-01,131.74
2020-04-02,129.86
2020-04-03,138.08
2020-04-06,138.43
2020-04-07,149.05
2020-04-08,148.27
2020-04-09,153.11
2020-04-13,147.23
2020-04-14,141.78
2020-04-15,142.35
2020-04-16,139.89
2020-04-17,147.22
2020-04-20,151.48
2020-04-21,144.63
2020-04-22,144.47
2020-04-23,149.36
2020-04-24,156.0
2020-04-27,160.48
2020-04-28,161.65
2020-04-29,163.01
2020-04-30,181.9
2020-05-01,181.93
2020-05-04,181.49
2020-05-05,182.15
2020-05-06,182.6
2020-05-07,188.26
2020-05-08,196.14
2020-05-11,174.87
2020-05-12,173.29
2020-05-13,185.44
2020-05-14,191.35
2020-05-15,191.35
2020-05-18,193.56
2020-05-19,193.43
2020-05-20,191.21
2020-05-21,181.68
2020-05-22,181.68
2020-05-26,178.79
2020-05-27,184.71
2020-05-28,190.29
2020-05-29,190.29
2020-06-01,197.74
2020-06-02,194.99
2020-06-03,196.8
2020-06-04,200.04
2020-06-05,200.04
2020-06-08,198.92
2020-06-09,198.92
2020-06-10,202.07
2020-06-11,191.04
2020-06-12,191.04
2020-06-15,193.08
2020-06-16,193.67
2020-06-17,192.43
2020-06-18,190.62
2020-06-19,190.62
2020-06-22,196.23
2020-06-23,196.58
2020-06-24,189.73
2020-06-25,190.07
2020-06-26,190.07
2020-06-29,187.13
2020-06-30,186.4
2020-07-01,188.26
2020-07-02,185.61
2020-07-06,191.35
2020-07-07,191.31
2020-07-08,196.9
2020-07-09,195.82
2020-07-13,156.85
