Timestamp,Open,High,Low,Close,Volume
2019-05-04,2.867e-05,2.919e-05,2.573e-05,2.775e-05,6011425.0
2019-05-05,2.786e-05,2.822e-05,2.707e-05,2.723e-05,4189915.0
2019-05-06,2.748e-05,2.748e-05,2.5e-05,2.585e-05,5176178.0
2019-05-07,2.611e-05,2.635e-05,2.36e-05,2.436e-05,8652015.0
2019-05-08,2.425e-05,2.478e-05,2.318e-05,2.345e-05,3702616.0
2019-05-09,2.349e-05,2.459e-05,2.111e-05,2.176e-05,5361341.0
2019-05-10,2.175e-05,2.426e-05,2.072e-05,2.325e-05,6103517.0
2019-05-11,2.326e-05,2.327e-05,2.077e-05,2.161e-05,4643408.0
2019-05-12,2.208e-05,2.4e-05,2.142e-05,2.224e-05,4893630.0
2019-05-13,2.211e-05,2.418e-05,2.104e-05,2.244e-05,9804332.0
2019-05-14,2.243e-05,2.345e-05,2.062e-05,2.139e-05,10893486.0
2019-05-15,2.124e-05,2.31e-05,2.009e-05,2.152e-05,12484202.0
2019-05-16,2.135e-05,2.895e-05,2e-05,2.26e-05,41996056.0
2019-05-17,2.291e-05,2.42e-05,2.038e-05,2.086e-05,26224244.0
2019-05-18,2.101e-05,2.31e-05,2.101e-05,2.198e-05,7701921.0
2019-05-19,2.223e-05,2.38e-05,1.955e-05,2.06e-05,14213731.0
2019-05-20,2.066e-05,2.235e-05,2.035e-05,2.098e-05,8475744.0
2019-05-21,2.111e-05,2.474e-05,2.075e-05,2.251e-05,17243826.0
2019-05-22,2.259e-05,2.441e-05,2.171e-05,2.3e-05,10179239.0
2019-05-23,2.288e-05,2.689e-05,2.258e-05,2.597e-05,12583963.0
2019-05-24,2.58e-05,2.685e-05,2.268e-05,2.519e-05,16169973.0
2019-05-25,2.518e-05,2.8e-05,2.445e-05,2.501e-05,13646074.0
2019-05-26,2.499e-05,2.535e-05,2.228e-05,2.254e-05,14631486.0
2019-05-27,2.274e-05,2.353e-05,2.104e-05,2.232e-05,11579821.0
2019-05-28,2.233e-05,2.35e-05,2.15e-05,2.204e-05,8093225.0
2019-05-29,2.222e-05,2.317e-05,2.184e-05,2.285e-05,3137630.0
2019-05-30,2.3e-05,2.307e-05,2.133e-05,2.223e-05,5096430.0
2019-05-31,2.205e-05,2.242e-05,2.125e-05,2.158e-05,4299689.0
2019-06-01,2.165e-05,2.169e-05,2.07e-05,2.107e-05,5036185.0
2019-06-02,2.1e-05,2.164e-05,2.082e-05,2.153e-05,2034032.0
2019-06-03,2.163e-05,2.181e-05,2.08e-05,2.089e-05,4143837.0
2019-06-04,2.102e-05,2.127e-05,2.036e-05,2.042e-05,3976787.0
2019-06-05,2.068e-05,2.082e-05,2.016e-05,2.045e-05,2711203.0
2019-06-06,2.046e-05,2.12e-05,2.035e-05,2.042e-05,4322926.0
2019-06-07,2.042e-05,2.284e-05,2.016e-05,2.131e-05,9343919.0
2019-06-08,2.145e-05,2.284e-05,2.139e-05,2.234e-05,3599508.0
2019-06-09,2.233e-05,2.245e-05,2.123e-05,2.124e-05,4372481.0
2019-06-10,2.151e-05,2.187e-05,2.103e-05,2.107e-05,4276233.0
2019-06-11,2.108e-05,2.156e-05,2.068e-05,2.077e-05,3349230.0
